RNA_NAME	R.Square..Single.	R.Square..Multiple.	symbol
ENSG00000078699.20	0.058767923	0.058767923	CBFA2T2
ENSG00000147130.13	0.046661967	0.070495256	ZMYM3
ENSG00000166426.7	0.042056994	0.085992647	CRABP1
ENSG00000118363.10	0.037891775	0.094963094	SPCS2
ENSG00000114126.16	0.034714731	0.099603483	TFDP2
ENSG00000153560.10	0.033720209	0.109273244	UBP1
ENSG00000100243.19	0.029689763	0.116497743	CYB5R3
ENSG00000260850.1	0.027788506	0.13219708	NA
ENSG00000265719.1	0.026718331	0.149756176	MIR4681
ENSG00000232878.2	0.025958978	0.156821838	RP11-526F14.1
ENSG00000204718.3	0.024679823	0.172923231	NA
ENSG00000120907.16	0.024575008	0.180726273	ADRA1A
ENSG00000147654.13	0.024535204	0.18857454	EBAG9
ENSG00000259283.2	0.023954021	0.201161887	NA
ENSG00000183134.4	0.023293234	0.205890778	PTGDR2
ENSG00000175874.8	0.022488043	0.215923056	CREG2
ENSG00000253013.1	0.022221472	0.220350332	NA
ENSG00000139832.4	0.02134896	0.229271876	RAB20
ENSG00000265627.1	0.020519535	0.24074876	NA
ENSG00000214429.3	0.020437855	0.244728875	NA
ENSG00000227067.3	0.019908863	0.245667306	NA
ENSG00000127743.5	0.019772945	0.248669788	IL17B
ENSG00000251387.1	0.019772071	0.258871154	NA
ENSG00000262920.4	0.019149081	0.261397435	NA
ENSG00000273593.1	0.019016092	0.26677969	NA
ENSG00000186792.14	0.018354272	0.267390633	HYAL3
ENSG00000281831.1	0.018352555	0.267572034	HCP5B
ENSG00000254299.1	0.017990561	0.271531681	NA
ENSG00000218823.1	0.017966086	0.276456951	PAPOLB
ENSG00000174989.11	0.01779361	0.285487876	FBXW8
ENSG00000227542.1	0.017725951	0	NA
ENSG00000196152.9	0.017656285	0	ZNF79
ENSG00000213468.3	0.017627192	0	FIRRE
ENSG00000226279.2	0.017477409	0	NA
ENSG00000236637.2	0.017409872	0	IFNA4
ENSG00000124785.7	0.017115036	0	NRN1
ENSG00000131864.9	0.016809845	0	USP29
ENSG00000229862.4	0.016784374	0	NA
ENSG00000184343.9	0.016678532	0	SRPK3
ENSG00000206042.1	0.016665833	0	NA
ENSG00000262185.1	0.016623139	0	RP11-462G12.2
ENSG00000166268.9	0.016606571	0	MYRFL
ENSG00000149635.2	0.016581286	0	OCSTAMP
ENSG00000231740.1	0.016430596	0	NA
ENSG00000259523.1	0.016041468	0	NA
ENSG00000004866.17	0.015829053	0	ST7
ENSG00000213700.3	0.015784688	0	NA
ENSG00000196458.9	0.015640551	0	ZNF605
ENSG00000200714.1	0.015611858	0	NA
ENSG00000201856.1	0.015452835	0	NA
ENSG00000121900.17	0.015311854	0	TMEM54
ENSG00000249301.1	0.015199851	0	NA
ENSG00000231396.2	0.015188401	0	USP17L10
ENSG00000221419.1	0.015170055	0	NA
ENSG00000199157.1	0.014996803	0	MIR208A
ENSG00000174943.8	0.014958858	0	KCTD13
ENSG00000199104.2	0.014581953	0	MIR346
ENSG00000239367.2	0.014543584	0	NA
ENSG00000206911.1	0.0144906	0	NA
ENSG00000225413.2	0.01439049	0	NA
ENSG00000160401.13	0.014361135	0	CFAP157
ENSG00000256469.1	0.014359308	0	NA
ENSG00000214401.4	0.014327572	0	RP11-197O15.1
ENSG00000231458.2	0.014216175	0	NA
ENSG00000257402.1	0.014176836	0	NA
ENSG00000274277.1	0.01407481	0	NA
ENSG00000172769.2	0.013999694	0	OR5B3
ENSG00000233444.1	0.013868592	0	NA
ENSG00000259096.1	0.013813464	0	NA
ENSG00000176495.2	0.013648113	0	OR5AN1
ENSG00000280195.1	0.01350524	0	NA
ENSG00000273851.1	0.01350359	0	NA
ENSG00000225683.4	0.013454376	0	NA
ENSG00000239216.1	0.013403137	0	NA
ENSG00000235586.1	0.013258249	0	NA
ENSG00000224839.1	0.013251756	0	NA
ENSG00000235912.1	0.013238032	0	NA
ENSG00000279802.1	0.01313492	0	NA
ENSG00000105467.7	0.013060514	0	SYNGR4
ENSG00000228115.1	0.012955996	0	NA
ENSG00000178795.8	0.012944483	0	GDPD4
ENSG00000185897.6	0.012865141	0	FFAR3
ENSG00000171942.4	0.01280872	0	OR10H2
ENSG00000179994.9	0.012525728	0	NA
ENSG00000274927.1	0.01244795	0	NA
ENSG00000273269.1	0.012303763	0	NA
ENSG00000216154.2	0.012035355	0	NA
ENSG00000232658.1	0.011965717	0	NA
ENSG00000275014.1	0.011941979	0	NA
ENSG00000267113.1	0.011865469	0	NA
ENSG00000268777.1	0.011769858	0	NA
ENSG00000265625.1	0.01156032	0	NA
ENSG00000228351.1	0.011535596	0	NA
ENSG00000240975.1	0.011514763	0	NA
ENSG00000275362.1	0.011421387	0	NA
ENSG00000213927.3	0.011209055	0	CCL27
ENSG00000235440.1	0.011151276	0	NA
ENSG00000259788.1	0.011132545	0	NA
ENSG00000252857.1	0.01105528	0	NA
ENSG00000254943.1	0.010975913	0	NA
ENSG00000258848.1	0.010816444	0	NA
ENSG00000267766.1	0.010803743	0	NA
ENSG00000271185.1	0.01076625	0	NA
ENSG00000267938.1	0.010723626	0	NA
ENSG00000234125.5	0.010676434	0	NA
ENSG00000232662.2	0.010547986	0	NA
ENSG00000253920.1	0.010504338	0	NA
ENSG00000273957.1	0.010489614	0	NA
ENSG00000242595.1	0.010293245	0	NA
ENSG00000231887.5	0.010256875	0	PRH1
ENSG00000222706.1	0.010222341	0	NA
ENSG00000278255.1	0.009864182	0	NA
ENSG00000250111.3	0.00983612	0	NA
ENSG00000202245.1	0.009781772	0	NA
ENSG00000212354.1	0.009768593	0	NA
ENSG00000227689.1	0.009761883	0	NA
ENSG00000231213.5	0.009757957	0	PLSCR5
ENSG00000207587.1	0.009657738	0	MIR544A
ENSG00000255490.1	0.009648813	0	NA
ENSG00000213559.4	0.009475871	0	NA
ENSG00000273233.1	0.009394906	0	NA
ENSG00000091010.4	0.009387366	0	POU4F3
ENSG00000255653.1	0.009374431	0	NA
ENSG00000254926.1	0.009290589	0	NA
ENSG00000221334.1	0.009110503	0	NA
ENSG00000171791.11	0.008972163	0	BCL2
ENSG00000271627.1	0.008965633	0	NA
ENSG00000242435.1	0.008915008	0	NA
ENSG00000249572.1	0.008895511	0	NA
ENSG00000263438.4	0.008889814	0	RP11-202D1.3
ENSG00000261732.1	0.008849926	0	NA
ENSG00000223086.1	0.008839613	0	NA
ENSG00000230967.2	0.008833014	0	NA
ENSG00000214042.1	0.008779372	0	IFNA7
ENSG00000226516.6	0.008672029	0	FAM138B
ENSG00000262118.1	0.00860048	0	NA
ENSG00000271339.1	0.008435577	0	NA
ENSG00000230120.1	0.008407831	0	NA
ENSG00000205084.9	0.008341716	0	TMEM231
ENSG00000237129.1	0.008313862	0	NA
ENSG00000278056.1	0.008305185	0	NA
ENSG00000265458.1	0.008255729	0	NA
ENSG00000222449.1	0.008034282	0	NA
ENSG00000234311.1	0.007981734	0	NA
ENSG00000265976.1	0.007936801	0	MIR4725
ENSG00000266489.1	0.007887068	0	NA
ENSG00000230558.2	0.007885968	0	NA
ENSG00000259615.1	0.007631012	0	NA
ENSG00000274027.1	0.007295028	0	NA
ENSG00000178802.16	0.007216407	0	MPI
ENSG00000253055.1	0.007069464	0	NA
ENSG00000239288.1	0.007022464	0	NA
ENSG00000233750.3	0.006989244	0	NA
ENSG00000233433.1	0.006932297	0	NA
ENSG00000239494.2	0.006885773	0	NA
ENSG00000239227.1	0.006876878	0	NA
ENSG00000233079.1	0.006869402	0	RP11-90C4.3
ENSG00000222994.1	0.006856879	0	NA
ENSG00000139287.11	0.006803286	0	TPH2
ENSG00000251253.1	0.006609683	0	NA
ENSG00000216347.1	0.006587551	0	NA
ENSG00000264021.1	0.006558109	0	NA
ENSG00000261041.1	0.006517415	0	NA
ENSG00000248765.1	0.006488568	0	NA
ENSG00000178031.14	0.006404721	0	ADAMTSL1
ENSG00000266432.1	0.006367398	0	NA
ENSG00000223027.1	0.006327201	0	NA
ENSG00000228296.1	0.006155937	0	TTTY4C
ENSG00000232845.1	0.006038507	0	NA
ENSG00000207206.1	0.006019167	0	NA
ENSG00000243296.1	0.006007085	0	NA
ENSG00000199921.1	0.0058763	0	NA
ENSG00000222316.1	0.005865562	0	NA
ENSG00000222581.1	0.005810129	0	NA
ENSG00000249386.1	0.005732953	0	NA
ENSG00000278911.1	0.005370747	0	NA
ENSG00000253513.1	0.005331147	0	RP11-6D1.3
ENSG00000202472.1	0.004805911	0	NA
ENSG00000259269.1	0.004795825	0	NA
ENSG00000250218.1	0.004549634	0	RP11-124N2.2
ENSG00000253898.1	0.004396923	0	RP11-51M18.1
ENSG00000237860.1	0.004306813	0	NA
ENSG00000199395.1	0.00413536	0	NA
ENSG00000255741.1	0.00409705	0	NA
ENSG00000232022.5	0.004069692	0	NA
ENSG00000266640.1	0.003915182	0	MIR4754
ENSG00000275948.1	0.003805129	0	NA
ENSG00000273826.1	0.002957694	0	NA
ENSG00000166049.10	0.000194907	0	PASD1
